date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:50:06	248741/248741	---MCZ	200	added ('OK')	text/html	date:Fri,%2011%20Jun%202021%2007:54:28%20GMT	https://piquant.qodeinteractive.com/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/index.html	(from )
06:50:06	69/69	---M-Z	200	added ('OK')	text/plain	date:Sat,%2023%20Oct%202021%2011:50:05%20GMT	https://piquant.qodeinteractive.com/robots.txt		(from )
06:50:06	9/9	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2023%20Oct%202021%2011:50:06%20GMT	https://piquant.qodeinteractive.com/xmlrpc.php	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/xmlrpc.php	(from https://piquant.qodeinteractive.com/)
06:50:06	50551/50551	---M--	200	added ('OK')	image/jpeg	etag:%22c577-59e74c0d6b01f%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-background-1.jpg?id=1281	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/home-1-background-11a80.jpg	(from https://piquant.qodeinteractive.com/)
06:50:07	30969/30969	---M-Z	200	added ('OK')	text/css	etag:%22149c-5c478cdc238a1%22	https://piquant.qodeinteractive.com/wp-content/cache/minify/7de6a.css	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/cache/minify/7de6a.css	(from https://piquant.qodeinteractive.com/)
06:50:07	40501/40501	---MC-	200	added ('OK')	application/rss+xml	etag:%2246d6efdaae4e7950169417034f02baed-gzip%22	https://piquant.qodeinteractive.com/feed/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/feed/index.html	(from https://piquant.qodeinteractive.com/)
06:50:08	7504/7504	---MCZ	200	added ('OK')	text/css	etag:W/%225e4e4f3b-1d50%22	https://export.qodethemes.com/_toolbar/assets/css/rbt-modules.css?ver=5.2.2	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/export.qodethemes.com/_toolbar/assets/css/rbt-modulesbb49.css	(from https://piquant.qodeinteractive.com/)
06:50:08	7163/7163	---MC-	200	added ('OK')	application/rss+xml	etag:%224ebd07f771e32a6ea3a16eaf202d1865-gzip%22	https://piquant.qodeinteractive.com/comments/feed/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/comments/feed/index.html	(from https://piquant.qodeinteractive.com/)
06:50:08	35913/35913	---M-Z	200	added ('OK')	text/css	etag:%221dd7-5c478cdc3da97%22	https://piquant.qodeinteractive.com/wp-content/cache/minify/c138f.css	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/cache/minify/c138f.css	(from https://piquant.qodeinteractive.com/)
06:50:08	1097402/1097402	---M-Z	200	added ('OK')	text/css	etag:%221f932-5c478d149e06e%22	https://piquant.qodeinteractive.com/wp-content/cache/minify/6f6c7.css	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/cache/minify/6f6c7.css	(from https://piquant.qodeinteractive.com/)
06:50:08	18296/18296	---M-Z	200	added ('OK')	text/css	etag:%22bab-5c478ce094b9f%22	https://piquant.qodeinteractive.com/wp-content/cache/minify/dccb7.css	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/cache/minify/dccb7.css	(from https://piquant.qodeinteractive.com/)
06:50:09	258098/258098	---M-Z	200	added ('OK')	application/x-javascript	etag:%2214f1b-5c478ce0bdbdc%22	https://piquant.qodeinteractive.com/wp-content/cache/minify/eff97.js	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/cache/minify/eff97.js	(from https://piquant.qodeinteractive.com/)
06:50:09	3716/3716	---M-Z	200	added ('OK')	application/x-javascript	etag:%224ca-5c478ce0870e0%22	https://piquant.qodeinteractive.com/wp-content/cache/minify/f1253.js	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/cache/minify/f1253.js	(from https://piquant.qodeinteractive.com/)
06:50:09	157754/157754	---M-Z	200	added ('OK')	application/x-javascript	etag:%2295dd-5c478ce09536f%22	https://piquant.qodeinteractive.com/wp-content/cache/minify/864c2.js	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/cache/minify/864c2.js	(from https://piquant.qodeinteractive.com/)
06:50:09	9/9	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2023%20Oct%202021%2011:50:09%20GMT	https://piquant.qodeinteractive.com/xmlrpc.php?rsd	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/xmlrpc0db0.php	(from https://piquant.qodeinteractive.com/)
06:50:10	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%22415-59e74c92a5953-gzip%22	https://piquant.qodeinteractive.com/wp-includes/wlwmanifest.xml	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-includes/wlwmanifest.xml	(from https://piquant.qodeinteractive.com/)
06:50:10	78461/78461	---MCZ	200	added ('OK')	application/json	date:Sat,%2023%20Oct%202021%2011:50:10%20GMT	https://piquant.qodeinteractive.com/wp-json/	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-json/index.html	(from https://piquant.qodeinteractive.com/)
06:50:11	2228/2228	---MCZ	200	added ('OK')	application/json	date:Sat,%2023%20Oct%202021%2011:50:10%20GMT	https://piquant.qodeinteractive.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpiquant.qodeinteractive.com%2F	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-json/oembed/1.0/embed3f47.json	(from https://piquant.qodeinteractive.com/)
06:50:11	2600/2600	---MCZ	200	added ('OK')	text/xml	date:Sat,%2023%20Oct%202021%2011:50:11%20GMT	https://piquant.qodeinteractive.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fpiquant.qodeinteractive.com%2F&format=xml	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-json/oembed/1.0/embedba02	(from https://piquant.qodeinteractive.com/)
06:50:12	11842/11842	---M--	200	added ('OK')	image/png	etag:%222e42-59e74c0d383a3%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/cropped-favicon-150x150.png	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/cropped-favicon-150x150.png	(from https://piquant.qodeinteractive.com/)
06:50:12	40844/40844	---M--	200	added ('OK')	image/png	etag:%229f8c-59e74c0d39343%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/cropped-favicon-300x300.png	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/cropped-favicon-300x300.png	(from https://piquant.qodeinteractive.com/)
06:50:12	14403/14403	---M--	200	added ('OK')	image/png	etag:%223843-59e74c0d38f5b%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/cropped-favicon-180x180.png	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/cropped-favicon-180x180.png	(from https://piquant.qodeinteractive.com/)
06:50:12	1219/1219	---M--	200	added ('OK')	image/png	etag:%224c3-59e74c0d9d0e4%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/logo-footer.png	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/logo-footer.png	(from https://piquant.qodeinteractive.com/)
06:50:13	2410/2410	---M--	200	added ('OK')	image/png	etag:%2296a-59e74c0da22eb%22	https://piquant.qodeinteractive.com/wp-content/uploads/2015/11/logo-normal.png	C:/Users/Reinaldo%20UFPS/Desktop/SISTEMAS/descargar_piquant/piquant/piquant.qodeinteractive.com/wp-content/uploads/2015/11/logo-normal.png	(from https://piquant.qodeinteractive.com/)
